Age,Potential,Wage,Preferred Foot,Weak Foot,Position,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,Positioning,Vision,Penalties,GKPositioning,GKReflexes,Value
24,86,€91K,Right,5,CM,6'2,170lbs,83,78,65,84,84,88,78,89,78,77,80,83,75,86,75,69,66,79,84,63,13,8,€32.5M
25,85,€110K,Right,4,LM,5'9,154lbs,79,71,44,80,68,90,71,88,93,89,89,74,88,83,38,72,53,73,79,53,5,7,€31.5M
25,84,€115K,Right,3,RM,5'9,154lbs,75,78,50,77,70,88,69,81,94,90,94,76,90,79,77,75,59,80,74,74,7,14,€31M
26,86,€21K,Right,3,CDM,6'2,183lbs,50,61,78,82,55,76,48,78,63,68,58,76,60,76,67,83,89,69,73,52,14,15,€27M
28,85,€180K,Right,4,CB,5'11,168lbs,70,32,82,80,38,55,55,78,70,79,60,79,68,54,81,78,79,37,53,45,15,7,€24.5M
25,87,€25K,Left,3,GK,6'4,198lbs,19,13,14,35,14,20,12,22,45,51,50,80,31,22,64,31,67,15,55,21,82,86,€24M
27,83,€87K,Right,3,RCM,5'9,163lbs,70,72,59,85,56,82,65,80,81,74,82,86,80,70,70,95,77,79,79,53,5,8,€26.5M
30,83,€64K,Left,3,CB,6'4,194lbs,25,37,80,73,39,65,62,72,65,55,33,81,35,75,68,81,83,20,65,72,13,11,€19M
26,86,€170K,Right,3,RB,5'10,150lbs,85,63,72,86,50,78,74,83,78,79,69,80,74,65,47,85,69,69,83,57,15,10,€26.5M
27,84,€57K,Left,3,ST,6'0,170lbs,72,78,80,78,77,82,83,82,88,91,84,80,77,83,78,78,72,83,74,77,11,5,€30.5M
28,83,€22K,Right,4,LCM,5'10,159lbs,79,76,45,83,77,80,83,82,82,73,77,81,77,75,67,86,59,84,85,76,9,15,€25.5M
27,83,€74K,Right,4,LCM,5'10,148lbs,72,63,34,84,68,86,78,84,84,71,91,84,80,69,67,88,47,73,82,64,6,16,€26.5M
28,84,€41K,Right,2,GK,6'3,185lbs,11,15,14,36,12,19,12,24,53,49,59,79,49,28,80,39,63,11,42,22,78,82,€21M
28,84,€42K,Right,1,GK,6'2,181lbs,14,11,16,30,11,19,12,17,47,51,45,81,43,21,73,39,69,10,41,22,82,85,€21M
28,83,€125K,Right,3,RDM,5'9,146lbs,60,50,69,80,32,75,33,79,76,72,80,81,80,80,87,89,70,67,67,54,12,13,€21M
29,83,€145K,Right,5,RM,5'10,165lbs,77,74,53,80,81,84,83,86,84,78,87,79,85,85,69,83,62,82,84,72,5,7,€25.5M
27,84,€130K,Left,3,LB,6'2,192lbs,85,68,83,84,70,79,85,83,69,76,64,84,58,84,71,90,76,79,69,64,9,12,€24M
33,83,€70K,Right,2,GK,6'3,185lbs,11,10,13,24,13,11,24,19,51,54,42,78,37,24,75,32,80,15,52,23,82,84,€13M
30,83,€86K,Right,2,RCB,6'3,176lbs,29,27,85,63,17,51,35,59,50,52,34,78,51,57,81,67,90,24,23,39,8,10,€19M
28,83,€66K,Left,3,CDM,6'1,176lbs,74,68,68,87,63,75,75,84,65,66,65,83,68,81,53,79,81,78,79,77,6,7,€21M
29,83,€26K,Right,3,ST,6'5,196lbs,38,87,94,73,85,68,61,74,49,54,32,85,32,82,51,82,92,89,68,88,11,8,€26M
26,84,€29K,Right,3,LCM,5'10,146lbs,74,76,54,86,63,78,77,84,75,72,86,81,80,80,64,76,38,79,83,68,12,12,€30.5M
27,83,€55K,Right,4,LS,6'2,194lbs,68,85,67,78,78,81,78,85,76,82,71,68,50,89,74,66,86,79,74,92,4,2,€27.5M
30,83,€63K,Left,3,LCB,6'2,172lbs,63,48,72,79,54,68,42,73,65,64,65,83,62,80,76,85,81,53,69,58,12,13,€19M
28,83,€64K,Right,3,CAM,5'8,150lbs,77,79,59,82,65,84,67,84,85,79,85,81,85,78,61,82,74,81,80,79,9,8,€26M
31,83,€130K,Right,3,LCB,6'2,190lbs,68,55,81,77,63,66,70,79,59,62,69,75,56,79,78,66,79,54,69,75,7,14,€17.5M
29,84,€38K,Right,1,GK,6'6,216lbs,14,11,15,25,11,15,18,24,38,47,39,83,36,24,72,32,79,11,42,21,82,87,€20M
30,83,€160K,Left,3,RM,5'7,139lbs,83,78,56,85,71,82,84,88,69,62,84,85,89,75,70,71,37,83,85,81,5,8,€24.5M
31,83,€55K,Left,2,GK,6'3,203lbs,12,11,23,34,15,12,11,15,56,54,55,77,51,25,71,32,77,11,42,25,84,83,€15.5M
30,83,€74K,Left,2,GK,6'3,185lbs,12,12,11,31,17,20,10,23,53,57,61,80,54,38,79,45,77,13,64,32,79,82,€16.5M
29,84,€35K,Right,4,GK,6'0,174lbs,13,13,10,40,8,15,12,25,48,54,55,80,58,23,73,45,68,15,58,24,80,85,€20M
29,83,€94K,Right,3,CDM,6'4,190lbs,60,43,87,77,58,60,46,74,49,53,53,83,48,76,85,74,84,51,75,52,11,8,€20M
29,83,€82K,Right,3,RB,6'1,179lbs,69,59,78,79,57,72,49,75,66,67,65,83,63,74,77,86,76,69,76,52,12,7,€20M
31,83,€64K,Right,3,LDM,5'10,172lbs,63,62,72,82,59,77,74,78,67,67,78,82,80,77,82,80,67,66,81,61,5,6,€17.5M
33,83,€51K,Right,3,GK,6'1,181lbs,14,13,13,37,13,15,13,17,53,43,52,80,36,24,74,31,61,11,55,11,79,84,€13M
31,83,€140K,Right,3,CM,5'10,170lbs,85,72,74,90,81,79,78,85,56,54,62,81,75,77,63,56,61,72,91,78,15,15,€22M
30,83,€120K,Left,2,CM,6'1,181lbs,65,66,70,86,73,89,65,89,72,72,79,83,76,81,75,70,89,70,80,63,16,14,€24M
35,83,€72K,Right,4,LM,5'7,159lbs,80,74,41,83,79,84,83,87,78,78,84,83,90,75,34,58,60,77,84,78,7,10,€11.5M
33,83,€33K,Right,4,GK,6'3,181lbs,18,13,16,34,16,11,10,23,40,46,35,76,45,21,59,31,70,15,37,13,86,84,€13M
34,83,€80K,Right,4,RDM,6'0,183lbs,57,50,81,81,74,64,62,77,63,67,64,80,72,81,77,74,81,55,71,75,10,9,€8M
35,83,€56K,Right,3,GK,6'2,203lbs,11,14,13,19,11,10,11,23,50,63,50,82,60,24,73,34,72,13,65,24,82,82,€6M
26,85,€30K,Right,3,GK,6'5,179lbs,11,16,14,28,19,12,10,19,35,37,39,78,27,21,36,20,68,14,25,18,78,85,€19.5M
18,91,€11K,Right,4,RCB,6'2,196lbs,57,53,81,75,40,65,48,73,62,72,56,77,59,79,80,74,87,44,63,40,12,10,€27M
22,87,€59K,Right,3,CM,6'3,181lbs,63,64,75,83,59,77,65,82,70,66,69,79,72,70,69,86,75,75,83,46,14,8,€29M
21,90,€125K,Right,3,LCM,5'7,161lbs,70,72,58,85,63,82,68,83,68,70,79,81,86,76,83,78,62,77,82,69,11,12,€32.5M
19,93,€23K,Right,3,GK,6'5,198lbs,12,12,12,34,8,28,12,28,46,54,64,74,38,24,72,34,72,14,50,24,78,88,€29M
30,82,€46K,Right,4,RCM,5'9,154lbs,61,53,70,82,57,77,54,76,80,81,72,80,80,60,43,93,68,58,77,77,10,9,€16.5M
34,82,€39K,Right,3,RCB,5'11,181lbs,40,56,83,67,63,60,72,64,68,74,61,78,63,74,91,76,79,58,50,62,11,18,€6.5M
30,82,€32K,Right,2,GK,6'3,187lbs,10,8,11,18,8,9,9,21,41,42,34,82,41,21,67,29,79,27,71,14,83,78,€14M
23,87,€59K,Right,3,RM,5'8,159lbs,81,66,51,78,74,85,82,83,95,94,94,83,92,72,65,87,48,82,79,66,6,9,€29.5M
21,86,€36K,Right,3,LM,5'10,150lbs,76,75,60,77,71,86,76,81,89,90,85,80,78,81,65,81,62,77,77,69,9,9,€29M
22,87,€98K,Right,3,LCM,5'6,141lbs,74,50,55,83,65,78,66,81,81,74,83,79,93,78,52,85,66,65,74,48,7,9,€25M
21,89,€140K,Left,4,RW,5'8,163lbs,79,75,57,82,71,85,77,85,87,82,92,80,84,85,58,74,64,79,83,68,7,9,€31.5M
23,87,€21K,Left,3,GK,6'2,170lbs,24,19,15,38,17,18,23,16,45,52,40,74,57,21,68,42,52,20,62,25,83,81,€21.5M
22,88,€53K,Left,3,LB,6'0,168lbs,78,42,83,80,38,65,53,79,80,84,70,80,67,62,83,82,76,57,61,34,14,10,€25.5M
23,88,€135K,Left,4,LCB,6'1,179lbs,36,23,78,78,24,60,25,76,72,73,62,79,60,58,79,73,80,47,60,43,12,7,€26M
27,83,€54K,Right,4,LCM,5'10,161lbs,75,86,69,79,84,87,79,86,78,72,82,81,82,82,69,76,68,84,66,88,7,15,€26M
24,87,€98K,Left,2,LB,5'10,141lbs,86,57,63,76,32,76,74,78,81,86,78,81,74,67,59,89,66,66,74,55,7,14,€24.5M
28,83,€33K,Right,3,RCM,5'11,176lbs,55,51,46,86,52,66,61,81,53,35,67,72,72,74,65,88,75,60,76,58,6,11,€20M
24,87,€110K,Left,3,RM,6'1,170lbs,82,70,50,82,74,86,82,87,83,83,85,80,79,82,49,80,63,78,80,72,13,12,€29.5M
22,88,€68K,Right,4,LM,6'1,185lbs,77,78,42,82,66,87,72,85,78,84,82,80,78,80,63,73,69,78,83,54,8,9,€30.5M
23,86,€95K,Right,3,CB,6'3,185lbs,40,33,80,65,35,64,45,65,56,67,59,78,53,58,81,67,79,28,50,36,5,5,€24.5M
23,86,€94K,Left,2,RM,6'0,148lbs,81,77,43,80,58,85,78,83,85,86,83,82,78,78,63,55,50,81,81,59,8,14,€29M
24,88,€95K,Right,3,RB,6'0,163lbs,85,58,64,78,62,84,83,83,91,91,78,82,74,80,73,89,66,78,74,46,14,14,€25.5M
23,89,€84K,Left,3,LCB,6'2,172lbs,36,30,76,70,28,65,36,69,63,69,60,78,53,64,78,75,81,31,40,34,8,9,€26.5M
25,88,€59K,Right,3,CDM,6'1,170lbs,58,63,68,85,53,78,62,81,73,76,72,77,53,79,84,87,81,60,73,46,9,7,€25.5M
25,84,€140K,Left,4,CM,5'7,141lbs,67,74,55,85,70,79,70,86,77,79,84,82,87,76,83,87,61,69,76,65,11,15,€26.5M
31,82,€96K,Right,3,ST,5'10,163lbs,64,85,69,65,82,76,60,76,89,91,75,88,76,85,76,86,67,85,72,81,15,11,€20M
24,87,€58K,Right,5,LS,5'11,159lbs,42,88,84,68,80,78,64,75,78,79,79,76,75,81,83,83,84,85,61,77,14,7,€30M
26,83,€67K,Right,4,LM,5'10,163lbs,84,70,45,85,67,82,81,87,76,70,81,82,82,73,53,74,62,75,83,66,15,11,€26M
25,83,€140K,Right,3,CAM,5'9,137lbs,74,78,64,78,70,83,80,83,84,82,86,83,86,80,63,87,53,86,82,65,13,9,€26.5M
29,82,€27K,Left,3,LCM,6'1,181lbs,73,74,68,84,81,86,79,87,58,62,69,78,39,76,44,61,79,77,84,67,9,7,€21.5M
28,82,€40K,Right,4,RM,5'8,139lbs,80,80,45,78,74,82,74,82,90,89,93,80,88,79,69,84,58,80,73,75,12,16,€22.5M
25,84,€110K,Right,3,CB,6'3,187lbs,68,27,80,75,34,59,35,69,67,78,59,82,50,70,73,60,82,33,57,40,12,8,€22.5M
27,83,€73K,Right,3,RB,5'8,148lbs,77,70,72,77,87,78,73,79,86,84,87,80,82,82,74,90,67,82,76,76,11,10,€20.5M
25,85,€77K,Right,3,LCB,6'4,220lbs,44,43,87,77,41,70,38,76,39,53,52,79,58,68,74,68,89,60,60,44,14,9,€23.5M
26,83,€87K,Right,4,RM,6'3,198lbs,83,76,75,82,79,75,74,82,74,81,63,80,49,77,72,92,85,80,71,65,6,9,€21M
27,82,€41K,Right,3,CB,6'5,187lbs,57,38,88,73,26,64,33,70,62,62,60,79,37,77,47,69,88,48,62,43,13,16,€18.5M
25,85,€46K,Left,2,CM,6'2,176lbs,65,69,75,81,59,78,62,82,69,76,76,84,67,86,83,85,91,78,78,45,8,10,€27.5M
25,87,€165K,Left,4,CAM,5'9,157lbs,72,73,55,86,76,87,75,84,71,70,80,79,80,79,73,67,66,77,81,67,13,7,€29.5M
27,83,€44K,Right,2,LCB,6'2,174lbs,67,42,81,74,48,60,57,69,71,74,69,80,67,61,83,72,82,51,65,51,15,7,€21M
25,85,€135K,Right,4,ST,6'2,187lbs,73,80,86,78,80,83,76,82,76,86,66,79,60,80,84,68,78,85,76,70,4,5,€28.5M
29,84,€135K,Right,3,GK,6'1,183lbs,17,10,12,47,19,12,10,32,54,50,48,78,50,35,71,40,67,11,60,21,81,80,€18M
27,82,€28K,Right,5,RS,5'7,150lbs,74,84,74,78,78,84,80,83,87,83,91,83,87,79,81,69,60,87,79,76,7,7,€23.5M
27,83,€33K,Right,4,ST,6'0,161lbs,74,84,71,75,80,80,78,82,88,88,80,81,72,84,79,79,76,85,73,69,14,6,€26M
26,83,€26K,Left,4,RCM,5'9,154lbs,86,78,61,83,64,86,84,84,75,76,80,77,81,76,40,72,58,79,84,69,6,14,€26M
25,85,€78K,Right,3,LS,5'11,146lbs,81,77,47,75,61,90,57,87,89,92,88,77,82,78,57,76,75,78,77,66,11,10,€28.5M
25,85,€67K,Right,3,CF,6'0,163lbs,76,80,49,88,76,86,86,88,77,72,79,83,74,77,54,73,67,81,87,56,12,11,€28.5M
28,82,€31K,Right,4,LF,5'7,141lbs,75,78,41,84,65,84,80,82,86,76,89,81,92,70,88,79,67,72,84,74,14,9,€22.5M
27,83,€32K,Right,3,CB,6'0,161lbs,55,55,82,79,43,70,66,80,75,72,72,82,71,66,89,67,71,61,75,52,12,8,€21M
27,83,€19K,Right,3,RCB,6'5,203lbs,17,42,80,72,39,64,39,62,46,64,32,75,30,50,54,81,94,49,50,65,16,13,€21M
26,83,€44K,Right,4,ST,6'2,205lbs,54,84,84,78,80,79,68,80,62,65,65,81,43,84,72,73,90,87,68,80,15,8,€26.5M
27,82,€1K,Right,3,RB,6'2,176lbs,76,56,76,78,52,77,66,79,79,85,79,80,61,71,84,87,75,76,73,53,13,12,€18.5M
29,83,€43K,Left,2,LCB,6'1,172lbs,54,37,77,74,39,53,67,71,55,59,56,78,58,59,78,72,87,39,56,46,6,14,€19.5M
26,83,€61K,Left,4,LCM,6'0,174lbs,67,72,83,79,66,73,71,77,76,78,73,81,74,78,91,90,79,75,77,60,14,15,€21.5M
26,85,€46K,Left,2,GK,6'6,190lbs,15,15,14,35,13,14,20,23,44,46,50,81,43,21,58,44,72,15,42,20,81,83,€19.5M
26,85,€67K,Right,4,CM,5'9,165lbs,78,75,51,87,86,84,81,90,74,64,86,84,85,68,58,73,68,81,86,77,6,10,€27M
26,84,€115K,Right,3,RCB,6'0,181lbs,53,58,81,77,51,53,55,70,58,65,63,82,67,66,83,68,78,50,55,54,10,6,€22.5M
29,82,€84K,Right,4,CAM,6'2,172lbs,77,73,61,86,78,87,83,86,69,69,79,78,63,78,49,62,64,78,87,75,10,12,€21.5M
30,82,€140K,Right,5,RW,5'7,143lbs,78,78,55,80,70,84,81,85,79,74,82,81,80,77,66,70,47,82,77,66,15,9,€21M
28,82,€115K,Right,3,CM,5'11,165lbs,82,70,70,84,78,83,78,85,75,77,77,82,77,84,69,84,66,78,82,68,15,14,€22M
27,85,€50K,Right,2,GK,6'2,187lbs,15,8,17,37,13,12,13,23,44,54,49,79,52,22,74,36,74,10,50,20,77,86,€18.5M
30,82,€1K,Right,3,LM,5'8,141lbs,73,76,56,77,82,87,52,85,93,91,90,79,83,83,62,79,62,74,79,72,15,13,€21M
29,82,€77K,Right,3,CDM,6'5,165lbs,59,64,79,79,55,72,73,81,44,55,36,81,31,79,75,86,92,70,77,57,16,13,€17M
30,82,€1K,Left,4,RM,5'9,152lbs,76,79,53,81,68,87,82,88,85,82,92,77,84,77,68,78,62,77,82,80,8,9,€21M
27,83,€130K,Right,3,CAM,6'0,168lbs,75,74,58,84,79,81,70,82,64,69,73,81,74,81,66,89,67,84,79,75,10,8,€25M
27,82,€99K,Right,4,RB,5'10,159lbs,91,48,73,79,54,75,87,80,76,75,74,81,74,75,73,88,65,75,80,66,11,10,€18.5M
32,82,€73K,Left,3,LB,6'2,183lbs,91,55,80,77,64,79,85,76,73,70,63,84,58,91,80,84,77,75,77,74,16,6,€12.5M
28,82,€125K,Right,5,CAM,6'1,181lbs,86,77,60,84,75,80,87,85,58,55,68,78,63,83,68,86,68,79,86,79,15,12,€22.5M
31,82,€15K,Right,4,CF,5'4,134lbs,72,80,34,80,75,86,90,86,88,80,94,80,91,80,34,77,42,82,81,73,3,3,€20M
29,82,€120K,Right,4,LS,6'4,183lbs,80,78,74,78,79,84,79,85,79,83,70,78,66,84,67,78,84,83,77,77,10,15,€22M
30,82,€22K,Left,2,CAM,5'8,146lbs,80,71,54,81,81,84,88,83,84,79,87,82,81,72,81,69,46,77,82,71,7,5,€21M
28,82,€125K,Right,3,RCM,6'0,176lbs,81,67,65,84,72,73,80,80,67,66,70,80,70,77,79,91,72,75,83,64,9,13,€18M
30,82,€45K,Left,4,ST,5'11,168lbs,81,83,63,84,80,82,80,85,69,67,74,85,76,81,65,71,72,85,83,90,13,9,€21.5M
33,82,€59K,Right,4,RDM,6'0,165lbs,70,70,75,80,76,75,67,79,68,69,67,82,71,87,77,88,77,82,78,45,7,9,€9M
29,82,€18K,Right,3,CDM,6'0,176lbs,50,49,73,78,53,68,43,72,52,55,57,78,58,73,73,90,78,50,63,56,11,14,€17M
32,82,€57K,Right,3,RCB,6'3,198lbs,36,45,77,66,45,56,43,68,52,67,54,75,54,77,76,84,91,24,44,48,5,3,€12.5M
32,82,€1K,Right,3,LCB,6'4,185lbs,68,44,83,70,38,65,69,73,49,65,57,77,46,64,81,80,86,45,60,49,14,6,€12.5M
27,82,€130K,Right,3,CAM,5'9,152lbs,67,70,72,84,73,84,76,84,77,76,80,82,81,76,80,85,72,79,78,74,12,6,€23M
31,82,€73K,Right,2,LCB,6'5,187lbs,44,41,89,64,35,48,46,72,36,43,29,84,32,63,41,74,91,32,47,26,11,14,€15M
31,82,€140K,Left,3,ST,6'4,203lbs,64,83,90,79,82,70,70,83,43,50,57,83,54,85,84,62,88,83,76,83,6,5,€20M
31,82,€73K,Left,3,CB,6'2,170lbs,49,43,83,76,34,54,39,67,67,69,58,78,56,65,91,78,77,30,48,45,14,16,€15M
31,82,€35K,Left,2,CM,5'7,148lbs,73,60,55,85,69,80,78,84,74,73,81,82,88,74,74,84,57,70,83,70,11,10,€19M
31,82,€44K,Right,3,RCB,6'2,198lbs,62,58,80,69,49,60,55,73,34,36,54,76,34,80,76,62,88,42,63,69,13,14,€15M
32,82,€17K,Right,2,LCB,6'4,192lbs,46,38,85,68,27,52,30,60,50,63,35,77,34,58,77,68,89,30,49,57,16,7,€12.5M
31,82,€45K,Right,2,GK,6'4,176lbs,13,10,11,23,12,15,11,18,50,51,52,75,55,20,68,34,66,10,55,19,83,81,€13.5M
32,82,€15K,Left,2,GK,6'5,198lbs,12,17,13,36,13,18,14,22,30,33,35,74,32,21,66,29,58,10,60,21,81,83,€12.5M
32,82,€115K,Right,3,CB,6'1,165lbs,52,32,80,76,35,62,22,66,64,66,65,76,61,54,78,62,75,41,56,51,11,7,€12.5M
31,82,€52K,Right,3,GK,6'2,181lbs,10,10,10,31,19,10,15,23,48,34,57,75,40,24,80,31,51,10,46,21,82,83,€13.5M
32,82,€98K,Right,4,CDM,5'10,139lbs,74,50,54,86,78,80,71,84,65,65,76,80,78,77,62,75,65,50,80,72,12,7,€12.5M
35,82,€62K,Right,3,RB,5'8,150lbs,85,61,72,81,68,84,80,86,77,79,84,77,87,86,80,74,55,74,78,70,6,7,€4.8M
36,82,€12K,Right,5,ST,5'9,152lbs,71,86,67,76,79,83,83,85,72,67,71,83,73,81,67,70,66,86,75,88,11,9,€8M
37,82,€29K,Right,3,ST,6'0,172lbs,54,83,92,72,80,76,61,82,64,66,50,85,55,82,90,60,82,87,73,82,15,9,€8M
36,82,€60K,Left,3,GK,6'5,198lbs,19,12,19,35,17,12,13,22,35,38,46,77,34,21,50,32,63,13,53,23,83,79,€3M
37,82,€10K,Left,2,GK,6'1,185lbs,13,12,25,21,14,25,25,23,59,57,62,77,46,28,77,43,70,16,65,24,82,84,€1.5M
20,89,€110K,Right,4,LW,6'1,154lbs,75,78,71,75,72,83,77,80,90,93,88,79,77,87,68,79,71,81,74,74,7,14,€27M
30,81,€40K,Left,5,CAM,5'7,139lbs,73,72,44,79,67,82,56,82,86,78,89,80,88,67,44,67,48,82,80,74,14,10,€17M
20,89,€54K,Left,4,LM,5'10,174lbs,77,75,57,75,75,86,77,82,94,90,86,80,84,79,86,76,59,80,77,71,15,14,€26.5M
22,87,€49K,Right,3,LCB,6'2,187lbs,51,36,75,78,40,67,42,75,72,86,69,81,66,58,78,76,84,33,66,40,6,9,€21M
21,89,€19K,Right,3,LDM,5'11,154lbs,75,52,64,87,64,86,74,88,74,76,84,83,78,68,76,74,69,63,85,45,10,9,€26M
24,86,€125K,Right,3,RB,5'10,148lbs,74,50,58,73,42,80,61,78,91,92,88,82,83,74,80,91,62,72,62,38,14,12,€20M
22,86,€36K,Right,3,CAM,5'10,148lbs,74,77,50,84,70,81,63,81,71,66,79,76,76,75,59,77,67,77,86,46,7,15,€24M
22,89,€64K,Left,4,LM,6'2,154lbs,72,79,67,80,65,81,74,83,69,67,73,79,66,75,46,73,69,80,82,67,13,13,€26M
24,87,€105K,Right,3,CB,6'1,170lbs,51,33,79,70,42,60,46,65,68,79,65,74,62,55,85,72,85,47,54,46,9,8,€21M
21,88,€120K,Right,3,LCM,5'10,154lbs,74,68,41,83,62,85,73,85,73,67,82,80,79,64,52,75,62,76,83,55,7,13,€25M
22,86,€22K,Right,4,LS,5'9,154lbs,75,77,60,74,75,84,72,80,94,93,91,77,76,76,75,80,59,77,75,64,14,10,€24M
30,81,€33K,Right,4,LS,5'11,154lbs,79,80,54,75,64,87,82,83,88,88,78,75,80,76,62,82,60,77,75,76,16,8,€17M
26,82,€73K,Right,4,LDM,5'7,161lbs,72,69,60,86,47,78,81,84,75,70,82,75,88,78,69,75,63,73,83,67,10,12,€20.5M
24,84,€57K,Left,4,RM,5'7,148lbs,79,74,40,78,73,84,77,83,85,84,90,79,82,78,50,79,45,77,75,70,8,11,€22.5M
25,84,€64K,Right,4,LDM,5'11,150lbs,72,69,62,83,65,81,79,83,69,70,74,77,74,80,68,84,66,69,80,69,11,8,€18.5M
24,87,€31K,Right,3,LW,6'1,174lbs,78,77,70,79,68,82,49,81,92,94,80,78,55,85,86,75,85,76,75,64,10,13,€24.5M
23,87,€54K,Right,4,RM,5'7,150lbs,74,82,67,73,79,87,82,87,87,82,87,82,83,80,50,74,63,82,78,55,8,16,€24.5M
22,88,€91K,Right,3,LCB,6'2,179lbs,49,36,80,77,25,68,32,74,66,70,61,80,61,31,72,69,73,32,62,36,6,8,€21.5M
25,84,€71K,Right,4,CAM,5'10,161lbs,77,64,55,83,69,83,74,83,73,69,81,73,77,76,64,79,68,77,81,66,8,8,€22.5M
23,86,€36K,Right,2,GK,6'4,172lbs,18,18,11,26,11,14,14,15,41,46,31,74,47,18,49,23,56,18,49,21,78,86,€17M
24,86,€58K,Right,3,RB,6'0,154lbs,78,47,66,77,40,75,40,77,79,82,76,79,69,68,69,87,69,63,59,40,9,11,€20M
24,88,€64K,Right,5,RCM,5'11,165lbs,77,65,52,82,70,84,80,85,82,84,79,76,76,76,54,72,54,77,82,51,11,6,€24.5M
24,85,€64K,Right,4,RB,5'9,154lbs,81,61,64,80,56,83,78,79,88,87,82,81,77,67,74,84,60,75,75,60,11,11,€19M
22,87,€14K,Left,2,LB,5'7,152lbs,83,50,65,79,58,83,85,82,85,83,85,79,86,78,64,83,63,75,60,51,7,13,€20.5M
24,86,€54K,Left,3,LM,5'7,157lbs,85,75,52,84,78,83,84,84,82,68,88,83,86,79,63,72,49,77,79,44,11,8,€24M
25,85,€60K,Right,3,RDM,6'0,168lbs,68,73,66,82,68,78,41,80,63,70,60,74,69,84,72,93,81,73,76,54,15,14,€19.5M
25,84,€14K,Right,4,LS,5'7,152lbs,53,84,77,68,73,75,68,78,89,92,91,79,90,79,86,72,73,84,58,70,12,8,€22.5M
31,81,€45K,Right,2,LS,5'11,170lbs,60,84,75,68,78,80,69,80,73,75,73,80,77,80,74,66,74,90,68,80,5,8,€16M
25,83,€40K,Right,3,LW,5'11,174lbs,78,82,73,76,81,78,78,79,78,77,79,81,78,83,75,82,77,83,78,65,12,15,€22M
25,84,€87K,Left,3,LB,6'0,168lbs,83,58,69,79,48,76,72,79,76,74,70,78,68,65,73,85,69,71,75,54,7,14,€18.5M
25,84,€36K,Left,2,LCB,6'2,183lbs,46,30,78,73,32,43,72,65,65,77,65,80,59,44,81,62,78,30,55,52,15,13,€18.5M
24,88,€71K,Left,3,CF,6'1,172lbs,58,88,78,63,76,74,71,78,69,74,68,75,63,85,62,73,78,81,60,79,15,6,€25.5M
24,84,€54K,Right,4,LM,5'10,170lbs,70,79,56,79,78,79,74,81,83,77,75,85,79,86,75,84,76,81,79,65,15,13,€22.5M
23,86,€105K,Left,3,LB,6'1,187lbs,87,33,65,80,31,80,80,79,77,86,68,80,70,79,71,81,81,77,76,50,15,9,€20M
27,82,€35K,Right,3,CDM,6'3,168lbs,61,45,58,80,49,71,54,81,52,52,66,85,54,53,51,93,69,70,73,47,6,8,€17M
26,84,€57K,Right,3,RB,5'11,168lbs,82,44,73,77,53,74,70,79,82,79,67,77,72,75,85,90,73,65,68,52,10,12,€18M
25,83,€40K,Right,3,RW,5'9,152lbs,77,69,38,81,80,85,83,83,86,77,91,81,83,78,63,77,62,81,80,83,7,8,€21.5M
28,81,€76K,Right,3,RM,6'0,179lbs,76,72,48,78,72,87,70,83,90,91,86,81,78,85,75,73,68,76,76,57,11,10,€18M
27,82,€48K,Left,3,RS,6'1,185lbs,52,80,79,71,81,77,71,79,79,79,76,78,69,85,89,76,88,83,66,79,7,9,€21M
27,82,€68K,Left,4,LB,6'0,176lbs,85,54,70,79,52,79,77,80,71,82,72,79,62,80,73,88,68,69,69,76,8,13,€16.5M
27,84,€27K,Left,3,GK,6'1,172lbs,13,11,10,17,10,11,20,23,44,40,36,78,25,18,62,34,55,10,41,20,81,82,€15M
30,81,€41K,Left,3,CAM,6'3,174lbs,78,78,58,82,80,83,77,87,67,70,70,80,56,87,33,64,74,80,82,78,12,6,€17M
25,83,€76K,Left,3,ST,5'10,187lbs,78,81,67,81,77,79,79,81,78,77,73,82,84,85,78,88,82,81,81,72,7,12,€22M
24,85,€59K,Right,4,ST,5'9,159lbs,53,85,77,76,84,78,78,81,82,80,83,84,84,80,75,65,64,86,65,71,8,5,€23.5M
28,81,€65K,Right,4,LM,6'1,174lbs,78,77,65,79,75,84,76,83,78,77,74,80,63,77,70,80,81,80,78,74,14,16,€18M
25,84,€115K,Left,2,LDM,6'1,181lbs,71,49,62,85,50,70,73,80,47,49,49,77,61,88,32,80,75,77,81,63,7,13,€22M
29,81,€26K,Left,2,LAM,5'11,168lbs,83,74,63,81,73,85,83,86,69,68,82,78,80,69,64,69,62,75,85,71,9,16,€17.5M
29,81,€76K,Right,4,LDM,5'7,154lbs,78,64,53,84,68,75,75,82,76,65,80,76,85,80,61,87,63,75,81,76,8,13,€17M
25,81,€77K,Left,5,RW,5'7,134lbs,82,67,42,82,74,84,84,86,88,86,92,78,90,81,51,75,48,76,82,68,15,9,€19.5M
28,82,€115K,Right,4,RCB,6'2,185lbs,59,33,80,69,42,63,26,67,54,55,50,75,41,63,81,68,82,21,56,52,10,7,€16M
30,81,€56K,Right,4,RCB,5'7,143lbs,50,31,68,79,58,63,35,71,72,70,78,80,92,65,89,84,83,58,72,58,6,6,€13M
